0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	188	0	0	0	235	66	0	83	71	0	0	0	0	0	0	0	0	59	0	0	0	0	237	0	180	72	0	99	0	59.4163	3.5068
0	0	0	0	0	0	0	0	0	74	75	79	0	0	0	0	70	0	0	0	0	0	0	223	0	234	256	64	0	0	0	109.352	3.79261
0	0	0	0	0	0	0	61	0	0	0	0	0	0	234	0	80	62	0	0	0	0	50	0	0	234	0	59	0	85	75	148.396	3.11566
61	0	0	0	181	0	0	67	0	0	0	0	0	0	0	281	0	61	0	0	0	0	55	0	0	0	0	0	0	0	0	183.091	2.69768
0	0	0	86	0	0	0	65	0	82	0	0	0	0	0	274	0	0	0	0	168	58	59	0	0	0	0	0	0	0	0	216.815	1.84704
0	0	0	0	0	0	0	0	0	0	80	74	0	0	0	0	79	0	74	0	0	44	47	227	0	228	0	0	0	0	0	257.213	3.23287
0	0	0	88	0	0	0	0	0	0	0	77	0	0	0	0	75	60	69	0	0	48	54	0	0	0	248	0	0	0	77	294.096	2.54763
0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	76	0	0	47	0	223	237	0	0	72	0	0	0	330.355	2.39224
0	0	0	84	173	0	0	0	83	0	0	0	69	0	0	0	0	0	0	0	171	0	58	0	0	234	0	0	65	92	0	379.917	5.57379
0	71	185	0	176	0	0	0	0	85	0	0	0	0	231	0	0	0	0	0	0	0	0	0	223	0	0	0	65	0	0	429.156	4.64745
73	0	0	88	182	0	236	0	0	0	71	0	0	58	0	0	0	0	0	0	0	0	0	229	0	0	256	55	0	0	0	491.898	5.29195
0	76	0	0	0	60	231	0	0	0	0	0	0	0	0	0	0	0	0	0	176	59	59	0	231	0	257	0	0	0	0	546.395	3.34869
62	0	0	0	0	0	0	0	0	0	0	75	62	0	0	0	0	0	0	0	0	53	59	234	235	233	0	68	0	0	0	596.853	3.93085
0	76	0	0	0	61	0	68	0	83	0	0	68	0	0	0	0	0	0	52	0	0	49	0	0	0	0	0	0	0	0	617.714	1.80884
71	0	0	87	0	0	230	0	89	0	0	0	0	0	229	0	76	0	0	0	174	0	0	0	0	0	0	56	0	97	74	668.122	3.61387
0	0	191	87	0	0	226	60	0	0	71	0	0	0	0	0	0	46	0	54	0	0	0	226	0	229	0	66	0	0	0	725.739	4.10615
75	0	190	0	0	0	228	63	0	80	73	74	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764.037	2.09804
0	0	0	84	0	0	0	0	0	0	0	75	0	55	0	0	0	0	0	0	0	47	0	0	237	0	251	0	66	0	67	805.29	3.06373
76	0	0	0	181	0	0	0	0	84	0	71	0	0	0	0	0	0	0	0	0	53	0	232	0	0	255	0	0	0	0	854.021	4.53188
66	0	0	0	0	65	227	65	0	74	0	0	56	0	227	275	0	0	0	0	0	0	0	0	228	0	215	0	0	0	0	920.959	3.85597
0	0	0	84	0	0	0	66	91	76	0	0	0	54	235	0	0	0	0	52	0	0	0	0	0	223	0	69	0	0	0	962.617	4.20264
0	0	0	0	182	60	0	0	0	0	0	74	63	0	234	0	0	0	0	0	171	0	0	0	0	0	256	0	0	0	78	1015.59	5.16575
0	0	191	83	0	0	0	0	0	83	0	74	0	0	0	277	0	0	73	0	0	0	0	0	0	0	0	66	55	0	75	1056.67	2.38641
0	0	186	0	176	0	0	0	0	0	0	74	0	0	0	0	80	55	0	0	0	0	0	0	235	0	252	0	64	0	67	1115.57	4.60986
0	0	0	80	183	0	0	0	0	73	71	0	0	0	0	0	0	0	75	0	0	45	0	222	0	0	0	0	66	93	0	1161.67	4.63448
0	0	149	0	0	0	232	0	0	0	75	0	0	0	0	267	0	0	0	43	176	0	0	229	0	0	248	0	0	0	0	1226.01	3.39421
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	45	0	46	0	49	0	0	228	0	0	0	0	89	0	1254.25	1.23021
0	0	0	0	0	70	0	0	0	0	0	0	0	0	233	266	0	61	0	0	176	0	53	0	0	0	0	60	0	90	0	1295.61	2.14867
0	0	0	86	0	0	0	57	84	0	78	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	62	0	90	0	1318.24	2.0071
0	0	191	87	0	0	0	0	87	0	0	0	0	0	229	267	0	0	0	0	0	0	0	226	0	0	0	0	62	84	0	1370.08	3.63667
72	0	0	0	0	0	236	0	0	0	73	71	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1404.04	1.65239
58	74	0	88	179	67	0	0	0	0	71	0	65	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	1446.12	4.58249
63	0	182	82	0	0	0	67	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	231	0	0	0	0	0	1476.68	2.18608
0	77	0	0	0	0	0	0	89	0	0	0	67	0	212	0	0	0	75	55	0	0	0	226	0	218	257	0	0	98	0	1539.27	5.70923
72	73	0	0	0	0	0	0	0	0	0	0	71	0	0	281	0	47	75	57	174	0	0	0	233	232	0	0	0	0	0	1599.43	3.65501
0	77	0	0	0	65	0	0	0	0	0	78	0	0	232	0	0	0	0	0	0	0	0	0	0	228	0	0	0	90	0	1631.44	3.03261
0	0	0	0	0	0	0	0	0	81	0	0	71	0	235	0	0	44	69	0	0	58	58	0	0	227	0	0	0	0	0	1668.01	3.35696
67	0	0	0	0	0	0	65	0	74	72	78	0	56	0	279	78	60	0	0	0	0	0	234	0	0	0	0	0	0	0	1715.98	2.3895
0	0	142	0	0	0	0	61	0	0	79	0	0	56	231	277	0	0	0	43	0	0	59	0	155	0	258	0	0	0	0	1775.75	3.5821
0	0	0	0	0	68	0	66	85	0	0	72	62	51	0	0	81	0	66	0	0	0	54	0	0	0	0	0	0	0	0	1804.98	2.51336
0	0	0	88	0	0	233	0	0	0	0	0	64	43	0	0	0	62	0	45	0	0	0	0	235	0	257	0	0	0	68	1857.44	3.32447
0	0	191	0	0	67	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	231	0	228	0	0	61	0	76	1898.9	3.22763
0	0	190	0	0	0	0	56	0	0	0	77	0	0	225	0	0	0	70	0	0	0	0	0	0	227	255	59	58	0	0	1951.61	4.62313
76	70	192	0	0	0	0	0	0	0	78	0	67	0	227	0	0	60	0	0	0	0	0	0	232	0	0	0	64	0	77	2000.96	3.24346
69	0	0	0	0	0	235	0	79	0	0	0	71	0	0	0	0	0	0	0	175	0	0	0	231	0	0	0	0	97	0	2045.66	2.86775
0	0	0	0	0	0	0	0	85	0	0	0	68	0	0	0	0	59	0	0	168	0	0	228	209	223	256	0	0	0	0	2108.47	4.73483
0	77	0	0	0	0	236	0	0	0	0	78	0	50	0	0	0	0	0	56	0	0	0	235	236	0	0	0	0	99	77	2162.38	3.7088
64	0	183	0	0	0	0	0	0	0	0	0	0	0	234	0	71	0	78	0	0	0	58	232	0	0	0	0	60	0	0	2205.38	3.2259
62	76	0	89	0	0	0	56	0	0	0	0	71	52	0	0	0	61	0	0	0	51	0	0	0	230	0	65	0	0	0	2240.92	2.95985
0	0	0	0	0	67	0	0	0	0	70	0	0	53	234	0	0	0	0	46	0	57	0	0	229	0	0	69	0	100	0	2281.79	2.68861
70	0	183	85	179	0	0	0	0	0	0	0	0	0	0	265	0	61	0	0	0	0	55	0	0	225	0	0	0	0	73	2337.58	4.26188
0	0	0	0	170	0	0	0	0	0	0	0	69	0	0	0	82	59	67	42	0	55	47	0	234	0	0	0	0	0	64	2383.96	3.86334
0	0	184	80	0	68	0	0	89	0	0	0	0	58	0	274	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	2419.23	1.74087
75	0	0	87	0	0	229	0	0	0	75	0	0	45	0	282	0	0	0	0	0	0	0	0	0	0	249	68	57	0	0	2470.22	2.7544
62	71	0	0	0	0	0	0	0	81	0	78	0	52	0	278	0	0	0	0	0	0	51	0	0	233	0	0	0	0	72	2512.11	2.79571
0	0	0	0	0	69	232	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	48	0	0	0	0	67	53	0	0	2537.59	1.81396
0	0	0	89	0	62	0	0	0	0	0	0	61	57	0	280	0	0	0	0	0	0	0	232	236	0	0	0	0	88	0	2588.61	2.73336
